codeDep,intitule,description,nom_responsable
IRT,Informatique Réseaux et Télécommunications,Département spécialisé en développement informatique et technologies des réseaux,Hafedh 
SID,Statistique et Ingénierie des Données,Département focalisé sur l'analyse de données et la statistique appliquée,Sidi
GM,Génie Mécanique,Département consacré à la conception et l'analyse des systèmes mécaniques,Saleck
GE,Génie Électrique,Département spécialisé en électronique et systèmes électriques,helmi
GC,Génie Civil,Département dédié à la construction et aux infrastructures,tegedi
MPG,Mines Pétrole et Gaz,Département focalisé sur l'exploration et l'exploitation des ressources naturelles,akroute
